"region","produktionssätt","bränsletyp","år","Elproduktion och bränsleanvändning (MWh)"
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2005",12064884
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2006",12760970
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2007",13531303
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2008",13831977
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2005",..
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2006",..
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2007",1280448
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2008",..
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2005",2310535
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2006",2996482
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2007",2323507
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2008",2733832
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2005",..
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2006",949374
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2007",1391573
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2008",1082610
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2005",2887038
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2006",2728526
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2007",3175003
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2008",4107044
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2005",5680971
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2006",6096842
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2007",6507456
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2008",7096370
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2005",0
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2006",0
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2007",0
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2008",0
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2005",3653072
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2006",2915732
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2007",2235155
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2008",3672412
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2005",17035942
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2006",..
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2007",16913143
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2008",..
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2005",73245120
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2006",67774975
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2007",67522769
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2008",64599618
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2005",..
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2006",771890
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2007",357760
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2008",389410
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2005",215377465
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2006",189751018
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2007",183881008
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2008",186972681
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2005",..
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2006",190522908
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2007",184238769
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2008",187362090
"00 Riket","vattenkraft","elproduktion","2005",72534874
"00 Riket","vattenkraft","elproduktion","2006",61684839
"00 Riket","vattenkraft","elproduktion","2007",66047667
"00 Riket","vattenkraft","elproduktion","2008",64553258
"00 Riket","vattenkraft","flytande (icke förnybara)","2005",0
"00 Riket","vattenkraft","flytande (icke förnybara)","2006",0
"00 Riket","vattenkraft","flytande (icke förnybara)","2007",0
"00 Riket","vattenkraft","flytande (icke förnybara)","2008",0
"00 Riket","vattenkraft","fast (icke förnybara)","2005",0
"00 Riket","vattenkraft","fast (icke förnybara)","2006",0
"00 Riket","vattenkraft","fast (icke förnybara)","2007",0
"00 Riket","vattenkraft","fast (icke förnybara)","2008",0
"00 Riket","vattenkraft","gas (icke förnybara)","2005",0
"00 Riket","vattenkraft","gas (icke förnybara)","2006",0
"00 Riket","vattenkraft","gas (icke förnybara)","2007",0
"00 Riket","vattenkraft","gas (icke förnybara)","2008",0
